CUSEC;Barrio;Distrito;Poblacion;Shape__Are;xcoord;ycoord
4109102014;LAS AVENIDAS;Macarena;947;47713.68579;-5.9859;37.40946
4109103031;HUERTA DEL PILAR;Nervión;853;50557.01953;-5.97593;37.38614
4109103029;NERVION;Nervión;680;47661.01929;-5.97343;37.37777
4109101034;MUSEO;Casco Antiguo;1354;88596.1377;-6.00166;37.38916
4109104005;LOS PAJAROS;Cerro Amate;1520;55720.2627;-5.9573;37.38401
4109102063;LAS AVENIDAS;Macarena;830;34784.17139;-5.9854;37.41058
4109102060;LEON XIII LOS NARANJOS;Macarena;893;82368.25684;-5.98491;37.40487
4109103013;LA BUHAIRA;Nervión;1439;69130.34497;-5.97079;37.38111
4109103011;NERVION;Nervión;838;94849.92871;-5.96639;37.38575
4109102024;SANTA MARIA DE ORDAS SAN NICOLAS;Macarena;1171;76393.98657;-5.9744;37.40465
4109102022;PIO XII;Macarena;981;46575.54736;-5.97804;37.40403
4109102044;DOCTOR BARRAQUER GRUPO RENFE POLICLINICO;Macarena;1956;239430.686;-5.99159;37.4076
4109102042;POLIGONO NORTE;Macarena;925;53622.30103;-5.98198;37.41291
4109102005;CRUZ ROJA CAPUCHINOS;Macarena;1872;160727.3447;-5.98051;37.39962
4109101043;SANTA CRUZ;Casco Antiguo;1163;133839.8477;-5.99187;37.38766
4109102009;LA BARZOLA;Macarena;1387;80708.24609;-5.98074;37.40642
4109102007;RETIRO OBRERO;Macarena;1278;91626.40991;-5.97916;37.40246
4109103034;NERVION;Nervión;981;45746.77295;-5.97171;37.37669
4109103027;SAN BERNARDO;Nervión;1406;253576.0386;-5.98576;37.38266
4109101025;SAN GIL;Casco Antiguo;2199;148160.8557;-5.98749;37.40141
4109103041;HUERTA DEL PILAR;Nervión;1969;94110.94824;-5.98023;37.38546
4109103001;SAN ROQUE;Nervión;1808;84741.12769;-5.98285;37.39048
4109102056;CAMPOS DE SORIA;Macarena;1376;47956.44702;-5.97129;37.40606
4109103015;NERVION;Nervión;1133;169829.5833;-5.96787;37.38043
4109103008;LA CALZADA;Nervión;1145;144142.0261;-5.97664;37.38801
4109102027;LOS PRINCIPES LA FONTANILLA;Macarena;2065;537030.0466;-5.97774;37.41618
4109102020;MACARENA TRES HUERTAS MACARENA CINCO;Macarena;1396;150643.5505;-5.99018;37.40997
4109102049;VILLEGAS;Macarena;1331;41904.92896;-5.97308;37.41195
4109102041;VILLEGAS;Macarena;975;34186.07642;-5.97368;37.41076
4109102003;LEON XIII LOS NARANJOS;Macarena;1404;103619.1099;-5.98541;37.40341
4109102001;DOCTOR BARRAQUER GRUPO RENFE POLICLINICO;Macarena;2164;515753.033;-5.99101;37.40516
4109102028;EL TORREJON;Macarena;1300;52822.1145;-5.98253;37.41181
4109102026;BEGOÑA SANTA CATALINA;Macarena;1295;110776.3879;-5.97484;37.40756
4109103038;LA BUHAIRA;Nervión;1373;190876.2324;-5.97697;37.37912
4109103037;LA FLORIDA;Nervión;1669;95428.82446;-5.98409;37.38748
4109101045;ALFALFA;Casco Antiguo;886;92884.47583;-5.99071;37.39173
4109104014;SANTA AURELIA CANTABRICO ATLANTICO LA ROMERIA;Cerro Amate;1297;43549.93311;-5.9516;37.3825
4109103005;HUERTA DEL PILAR;Nervión;1600;85172.49536;-5.9787;37.38663
4109103004;SAN ROQUE;Nervión;1621;101129.614;-5.98116;37.39037
4109103023;NERVION;Nervión;1578;91290.3291;-5.96364;37.38657
4109103020;CIUDAD JARDIN;Nervión;1032;154756.0579;-5.96423;37.37996
4109102031;VILLEGAS;Macarena;1016;33319.44482;-5.97615;37.40961
4109102030;HERMANDADES LA CARRASCA;Macarena;1217;43716.55078;-5.97797;37.40951
4109102053;LEON XIII LOS NARANJOS;Macarena;781;35059.37207;-5.98287;37.40651
4109102036;PIO XII;Macarena;1506;80014.82788;-5.97794;37.40654
4109101050;SAN BARTOLOME;Casco Antiguo;767;76059.30811;-5.98625;37.39036
4109101049;SANTA CATALINA;Casco Antiguo;702;61273.80298;-5.98761;37.39194
4109102017;LA PAZ LAS GOLONDRINAS;Macarena;1025;91589.06494;-5.98858;37.41089
4109102016;LAS AVENIDAS;Macarena;1022;53343.30005;-5.98454;37.41207
4109103039;SAN ROQUE;Nervión;837;52353.13135;-5.98333;37.39181
4109103036;NERVION;Nervión;1116;91905.26782;-5.9681;37.38629
4109101032;SANTA CATALINA;Casco Antiguo;1033;93667.29761;-5.98384;37.39511
4109104012;AMATE;Cerro Amate;752;117496.8367;-5.95905;37.37874
4109103003;SAN BERNARDO;Nervión;1945;239041.4634;-5.98242;37.38183
4109103002;LA FLORIDA;Nervión;1253;145793.1646;-5.98294;37.38596
4109103022;CIUDAD JARDIN;Nervión;1129;134296.0771;-5.96153;37.37906
4109103021;CIUDAD JARDIN;Nervión;847;79001.44897;-5.96448;37.37787
4109102033;LOS PRINCIPES LA FONTANILLA;Macarena;1015;88094.51099;-5.97539;37.41145
4109102032;LEON XIII LOS NARANJOS;Macarena;963;69988.33545;-5.98188;37.40456
4109102054;HERMANDADES LA CARRASCA;Macarena;1519;49222.93359;-5.98228;37.41033
4109102051;LA PAZ LAS GOLONDRINAS;Macarena;1166;115612.9653;-5.98821;37.41244
4109109019;TORREBLANCA;Este;1697;163506.1641;-5.89613;37.38449
4109110024;ELCANO BERMEJALES;Bellavista La Palmera;2983;133897.8606;-5.97689;37.34497
4109109033;COLORES ENTREPARQUES;Este;1927;769449.7646;-5.93234;37.40219
4109109026;TORREBLANCA;Este;1214;149750.2991;-5.90925;37.3885
4109110005;BELLAVISTA;Bellavista La Palmera;1064;95142.44751;-5.9659;37.32303
4109109057;PARQUE ALCOSA JARDINES DEL EDEN;Este;936;68649.11816;-5.92463;37.40846
4109110022;ELCANO BERMEJALES;Bellavista La Palmera;1525;229407.5481;-5.9803;37.3494
4109110007;BELLAVISTA;Bellavista La Palmera;829;75830.63989;-5.96622;37.31928
4109109023;TORREBLANCA;Este;1399;134938.3005;-5.90409;37.38364
4109109021;TORREBLANCA;Este;1309;113223.4077;-5.90084;37.38399
4109109055;PARQUE ALCOSA JARDINES DEL EDEN;Este;879;45017.44629;-5.9283;37.41055
4109109040;PARQUE ALCOSA JARDINES DEL EDEN;Este;953;27460.23608;-5.9271;37.41114
4109108042;SAN PABLO A Y B;San Pablo - Santa Justa;1660;103388.9363;-5.96454;37.39352
4109108039;SAN PABLO C;San Pablo - Santa Justa;1185;227723.8511;-5.96088;37.39414
4109109006;PALACIO DE CONGRESOS URBADIEZ ENTREPUENTES;Este;1502;127114.2322;-5.94221;37.39895
4109109004;PALACIO DE CONGRESOS URBADIEZ ENTREPUENTES;Este;2193;3235693.228;-5.93383;37.39188
4109108022;SAN PABLO A Y B;San Pablo - Santa Justa;910;62791.7981;-5.96834;37.39256
4109110004;BELLAVISTA;Bellavista La Palmera;1298;100266.8352;-5.9667;37.3242
4109108037;SAN PABLO D Y E;San Pablo - Santa Justa;880;57970.89893;-5.9571;37.39774
4109108024;SAN PABLO A Y B;San Pablo - Santa Justa;1169;58372.64844;-5.96872;37.39347
4109109041;PARQUE ALCOSA JARDINES DEL EDEN;Este;1675;130053.8201;-5.92428;37.41084
4109109039;PARQUE ALCOSA JARDINES DEL EDEN;Este;848;21021.12305;-5.92871;37.4116
4109109056;PARQUE ALCOSA JARDINES DEL EDEN;Este;1347;63907.58838;-5.92632;37.40906
4109109054;PARQUE ALCOSA JARDINES DEL EDEN;Este;1738;143023.4917;-5.92582;37.40674
4109109007;PALACIO DE CONGRESOS URBADIEZ ENTREPUENTES;Este;754;151949.5088;-5.9448;37.40189
4109109005;PALACIO DE CONGRESOS URBADIEZ ENTREPUENTES;Este;1586;87610.16016;-5.94327;37.3981
4109109024;TORREBLANCA;Este;1474;167849.0632;-5.9076;37.38436
4109109022;TORREBLANCA;Este;1966;83032.94727;-5.90187;37.38213
4109108023;HUERTA DE SANTA TERESA;San Pablo - Santa Justa;1255;94363.49097;-5.97081;37.391
4109108021;SAN PABLO A Y B;San Pablo - Santa Justa;947;39504.74561;-5.96714;37.39099
4109108041;SAN PABLO C;San Pablo - Santa Justa;1038;47650.75146;-5.96029;37.39298
4109108038;SAN PABLO C;San Pablo - Santa Justa;749;24635.1272;-5.95799;37.39364
4109109048;COLORES ENTREPARQUES;Este;1713;179849.4878;-5.91941;37.39674
4109109047;COLORES ENTREPARQUES;Este;1048;46861.93213;-5.91823;37.3952
4109109066;COLORES ENTREPARQUES;Este;2412;157102.53;-5.91349;37.40395
4109109065;COLORES ENTREPARQUES;Este;2708;284220.8708;-5.91634;37.40133
4109109015;PARQUE ALCOSA JARDINES DEL EDEN;Este;1757;135797.8608;-5.91636;37.40985
